"genres","agreg_genres"
"Автомобили и ПДД","Автомобили и ПДД"
"Архитектура","Архитектура и строительство"
"Архитектурные конструкции","Архитектура и строительство"
"Дизайн","Архитектура и строительство"
"Интерьеры","Архитектура и строительство"
"Основы строительства","Архитектура и строительство"
"Отдельные виды строительства","Архитектура и строительство"
"Проектирование","Архитектура и строительство"
"Проектирование в строительстве","Архитектура и строительство"
"Ремонт в квартире","Архитектура и строительство"
"Строительные конструкции","Архитектура и строительство"
"Строительные материалы","Архитектура и строительство"
"Астрология","Астрология, гадания, магия"
"Гадание / толкование снов","Астрология, гадания, магия"
"Магия / колдовство","Астрология, гадания, магия"
"Мистика","Астрология, гадания, магия"
"Спиритизм / пророчества / предсказания","Астрология, гадания, магия"
"IT-менеджмент","Бизнес и менеджмент"
"MBA","Бизнес и менеджмент"
"PR","Бизнес и менеджмент"
"Project-менеджмент","Бизнес и менеджмент"
"Аттестация персонала","Бизнес и менеджмент"
"Базы данных","Бизнес и менеджмент"
"Банковское дело","Бизнес и менеджмент"
"Бизнес-журналы","Бизнес и менеджмент"
"Бизнес-план","Бизнес и менеджмент"
"Бизнес-процессы","Бизнес и менеджмент"
"Бизнес-процессы / инновации","Бизнес и менеджмент"
"Бизнес-справочники","Бизнес и менеджмент"
"Бизнес-стратегии","Бизнес и менеджмент"
"Брендинг","Бизнес и менеджмент"
"Бухучет / налогообложение / аудит","Бизнес и менеджмент"
"Бюджетирование","Бизнес и менеджмент"
"Выход из бизнеса","Бизнес и менеджмент"
"Государственное и муниципальное управление","Бизнес и менеджмент"
"Директ-маркетинг","Бизнес и менеджмент"
"Дистрибуция","Бизнес и менеджмент"
"Зарубежная деловая литература","Бизнес и менеджмент"
"Издательское дело","Бизнес и менеджмент"
"Инновации в бизнесе","Бизнес и менеджмент"
"Интернет-бизнес","Бизнес и менеджмент"
"Интернет-маркетинг","Бизнес и менеджмент"
"Классика менеджмента","Бизнес и менеджмент"
"Классический маркетинг","Бизнес и менеджмент"
"Клиентский сервис","Бизнес и менеджмент"
"Консалтинг","Бизнес и менеджмент"
"Копирайтинг","Бизнес и менеджмент"
"Корпоративная культура","Бизнес и менеджмент"
"Корпоративные финансы","Бизнес и менеджмент"
"Коучинг","Бизнес и менеджмент"
"Креатив / идеи","Бизнес и менеджмент"
"Кризисное управление","Бизнес и менеджмент"
"Лидерство","Бизнес и менеджмент"
"Логистика","Бизнес и менеджмент"
"Лояльность","Бизнес и менеджмент"
"Малый и средний бизнес","Бизнес и менеджмент"
"Маркетинг для новичков","Бизнес и менеджмент"
"Маркетинг и реклама","Бизнес и менеджмент"
"Маркетинговые исследования и анализ","Бизнес и менеджмент"
"Менеджмент и кадры","Бизнес и менеджмент"
"Мерчендайзинг","Бизнес и менеджмент"
"Недвижимость","Бизнес и менеджмент"
"Организационный менеджмент","Бизнес и менеджмент"
"Отношения с клиентами","Бизнес и менеджмент"
"Партизанский маркетинг","Бизнес и менеджмент"
"Поиск и подбор персонала","Бизнес и менеджмент"
"Привлечение клиентов","Бизнес и менеджмент"
"Производственный менеджмент","Бизнес и менеджмент"
"Просто о бизнесе","Бизнес и менеджмент"
"Работа с долгами","Бизнес и менеджмент"
"Работа с клиентами","Бизнес и менеджмент"
"Реклама","Бизнес и менеджмент"
"Риски","Бизнес и менеджмент"
"Событийный маркетинг","Бизнес и менеджмент"
"Стартапы и создание бизнеса","Бизнес и менеджмент"
"Стратегический менеджмент","Бизнес и менеджмент"
"Стратегия маркетинга","Бизнес и менеджмент"
"Тайм-менеджмент","Бизнес и менеджмент"
"Техника продаж","Бизнес и менеджмент"
"Управление ассортиментом","Бизнес и менеджмент"
"Управление бизнесом","Бизнес и менеджмент"
"Управление качеством","Бизнес и менеджмент"
"Управление маркетингом","Бизнес и менеджмент"
"Управление персоналом","Бизнес и менеджмент"
"Управление персоналом и лидерство","Бизнес и менеджмент"
"Управление продажами","Бизнес и менеджмент"
"Управление экономикой","Бизнес и менеджмент"
"Успешные переговоры","Бизнес и менеджмент"
"Финансовые инструменты","Бизнес и менеджмент"
"Финансовый менеджмент","Бизнес и менеджмент"
"Финансы","Бизнес и менеджмент"
"Холодные продажи","Бизнес и менеджмент"
"Эффективная презентация","Бизнес и менеджмент"
"Эффективность бизнеса","Бизнес и менеджмент"
"Японский менеджмент","Бизнес и менеджмент"
"Биографии и мемуары","Биографии"
"Биографические справочники","Биографии"
"Боевики","Боевики"
"Зарубежные боевики","Боевики"
"Криминальные боевики","Боевики"
"Вестерны","Вестерны"
"Военное дело","Военное дело"
"Военное дело / спецслужбы","Военное дело"
"Военное право","Военное дело"
"Газеты","Газеты. Журналы. Альманахи"
"Альманахи","Газеты. Журналы. Альманахи"
"Журнальные издания","Газеты. Журналы. Альманахи"
"Литературные журналы","Газеты. Журналы. Альманахи"
"Сборники","Газеты. Журналы. Альманахи"
"СМИ","Газеты. Журналы. Альманахи"
"Антропология","Гуманитарные науки"
"Археология","Гуманитарные науки"
"Архивное дело","Гуманитарные науки"
"Благоустройство территории","Гуманитарные науки"
"Внешняя политика","Гуманитарные науки"
"Внутренняя политика","Гуманитарные науки"
"Источниковедение","Гуманитарные науки"
"Книги по философии","Гуманитарные науки"
"Литературоведение","Гуманитарные науки"
"Метафизика","Гуманитарные науки"
"Национальная политика","Гуманитарные науки"
"Педагогика","Гуманитарные науки"
"Первобытное общество","Гуманитарные науки"
"Политические партии","Гуманитарные науки"
"Политическое управление","Гуманитарные науки"
"Политология","Гуманитарные науки"
"Современное политическое положение","Гуманитарные науки"
"Социальная психология","Гуманитарные науки"
"Социальная философия","Гуманитарные науки"
"Социокультурная деятельность","Гуманитарные науки"
"Социология","Гуманитарные науки"
"Соционика","Гуманитарные науки"
"Этнография","Гуманитарные науки"
"Языкознание","Гуманитарные науки"
"История философии","Гуманитарные науки"
"Зарубежные детективы","Детективы"
"Иронические детективы","Детективы"
"Исторические детективы","Детективы"
"Классические детективы","Детективы"
"Крутой детектив","Детективы"
"Политические детективы","Детективы"
"Полицейские детективы","Детективы"
"Современные детективы","Детективы"
"Шпионские детективы","Детективы"
"Детская проза","Детская литература"
"Детская фантастика","Детская литература"
"Детские детективы","Детская литература"
"Детские приключения","Детская литература"
"Детские стихи","Детская литература"
"Зарубежные детские книги","Детская литература"
"Книги для детей","Детская литература"
"Книги для дошкольников","Детская литература"
"Книги для подростков","Детская литература"
"Книги о войне","Документальная и историческая литература"
"Документальная литература","Документальная и историческая литература"
