"","year_2"
"0","2010"
"1","2014"
"2","2015"
"3","0"
"4","0"
"5","2016"
"6","2015"
"7","2012"
"8","2018"
"9","2009"
"10","2016"
"11","1926"
"12","2019"
"13","2016"
"14","2019"
"15","0"
"16","2013"
"17","0"
"18","2018"
"19","1933"
"20","1903"
"21","2018"
"22","2010"
"23","2018"
"24","1833"
"25","2017"
"26","2016"
"27","2005"
"28","2003"
"29","2019"
"30","2019"
"31","2016"
"32","0"
"33","2016"
"34","2018"
"35","2013"
"36","0"
"37","1307"
"38","2007"
"39","2013"
"40","0"
"41","2019"
"42","0"
"43","2008"
"44","0"
"45","2007"
"46","2003"
"47","2006"
"48","0"
"49","2013"
"50","2013"
"51","0"
"52","0"
"53","0"
"54","1875"
"55","0"
"56","0"
"57","2014"
"58","2019"
"59","0"
"60","2016"
"61","2017"
"62","2019"
"63","0"
"64","2017"
"65","2016"
"66","2018"
"67","0"
"68","0"
"69","2013"
"70","2004"
"71","2013"
"72","2019"
"73","2011"
"74","2012"
"75","2014"
"76","0"
"77","2016"
"78","0"
"79","0"
"80","0"
"81","2015"
"82","2011"
"83","1993"
"84","2018"
"85","2007"
"86","2017"
"87","2005"
"88","2016"
"89","2019"
"90","2016"
"91","2007"
"92","2018"
"93","0"
"94","2012"
"95","2018"
"96","2016"
"97","2014"
"98","2019"
"99","2019"
"100","2018"
"101","2004"
"102","2016"
"103","0"
"104","1998"
"105","2008"
"106","2019"
"107","2014"
"108","0"
"109","2013"
"110","0"
"111","2019"
"112","2019"
"113","0"
"114","1863"
"115","1999"
"116","0"
"117","2019"
"118","0"
"119","2013"
"120","2019"
"121","2010"
"122","0"
"123","2016"
"124","0"
"125","1866"
"126","1934"
"127","1989"
"128","0"
"129","2017"
"130","0"
"131","1927"
"132","2017"
"133","2015"
"134","1914"
"135","2011"
"136","1912"
"137","2005"
"138","2018"
"139","2010"
"140","1947"
"141","2018"
"142","2010"
"143","0"
"144","2015"
"145","0"
"146","2017"
"147","0"
"148","0"
"149","0"
"150","0"
"151","2008"
"152","2010"
"153","2018"
"154","2019"
"155","0"
"156","2013"
"157","0"
"158","2016"
"159","1999"
"160","0"
"161","2017"
"162","2016"
"163","2019"
"164","2005"
"165","2018"
"166","2015"
"167","2017"
"168","1970"
"169","2012"
"170","2018"
"171","2008"
"172","2017"
"173","2013"
"174","2015"
"175","2015"
"176","2019"
"177","2018"
"178","2013"
"179","2000"
"180","0"
"181","2016"
"182","2013"
"183","2010"
"184","2008"
"185","2017"
"186","0"
"187","0"
"188","1963"
"189","0"
"190","2017"
"191","0"
"192","2016"
"193","1868"
"194","2015"
"195","2011"
"196","2015"
"197","2018"
"198","2016"
"199","2006"
"200","2016"
"201","2012"
"202","2019"
"203","2013"
"204","1946"
"205","2003"
"206","2013"
"207","2018"
"208","0"
"209","0"
"210","1963"
"211","0"
"212","0"
"213","0"
"214","2013"
"215","2005"
"216","2018"
"217","2017"
"218","2002"
"219","0"
"220","2020"
"221","2007"
"222","2013"
"223","2017"
"224","2019"
"225","2019"
"226","2015"
"227","2018"
"228","2018"
"229","2017"
"230","2015"
"231","2019"
"232","0"
"233","0"
"234","2020"
"235","0"
"236","2013"
"237","2017"
"238","2011"
"239","2015"
"240","2019"
"241","2013"
"242","2011"
"243","2018"
"244","2016"
"245","0"
"246","2012"
"247","2019"
"248","2008"
"249","2015"
"250","2018"
"251","2015"
"252","2019"
"253","1906"
"254","0"
"255","2009"
"256","2015"
"257","2016"
"258","0"
"259","2014"
"260","2013"
"261","2010"
"262","2018"
"263","2018"
"264","0"
"265","2015"
"266","2014"
"267","1890"
"268","2018"
"269","0"
"270","2005"
"271","2019"
"272","2008"
"273","2016"
"274","2014"
"275","2013"
"276","2018"
"277","0"
"278","2018"
"279","2018"
"280","2018"
"281","1885"
"282","2019"
"283","0"
"284","0"
"285","2017"
"286","2017"
"287","2015"
"288","2018"
